0 259 0 259
1 99 1 99
2 61 2 61
3 44 3 44
4 44 4 44
5 38 5 38
6 25 6 25
7 11 7 11
8 15 8 15
9 19 9 19
10 16 10 16
11 13 11 13
12 5 12 5
13 7 13 7
14 5 14 5
16 8 16 8
17 6 17 6
18 4 18 4
19 2 19 2
21 1 21 1
22 3 22 3
23 2 23 2
25 1 25 1
28 1 28 1
30 2 30 2
31 1 31 1
